0,10,20,30,40,50,60,70,80,90,100
83,0.010143,0.062475,0.12933,0.21622,0.3189,0.41161,0.49165,0.5652,0.6107,0.67711
84,0.010006,0.061175,0.1275,0.21586,0.31864,0.40636,0.48466,0.56382,0.61029,0.67582
85,0.0098589,0.059696,0.12489,0.21331,0.31579,0.40492,0.48023,0.55703,0.6098,0.67532
86,0.0096873,0.057754,0.12099,0.21163,0.31113,0.38289,0.48005,0.54557,0.6088,0.67431
87,0.0091247,0.056999,0.11504,0.20305,0.30017,0.37772,0.47991,0.54025,0.60655,0.67224
88,0.0082566,0.050393,0.11432,0.18733,0.29877,0.37634,0.47769,0.5384,0.60462,0.66976
89,0.0081594,0.049687,0.11368,0.18206,0.29433,0.37531,0.47614,0.5348,0.60405,0.66575
90,0.007935,0.04911,0.096261,0.17273,0.2876,0.37263,0.46402,0.53299,0.60285,0.66338
91,0.007716,0.046438,0.095643,0.17006,0.27876,0.36833,0.46313,0.53224,0.59988,0.66115
92,0.0072187,0.041663,0.093349,0.16715,0.26825,0.36445,0.46113,0.52999,0.59856,0.65865
93,0.0067574,0.038966,0.088661,0.15812,0.26219,0.35632,0.45744,0.52924,0.59754,0.65771
94,0.0064948,0.038035,0.086432,0.1566,0.2591,0.35466,0.45599,0.52683,0.59665,0.65495
95,0.0064677,0.036156,0.081293,0.15639,0.2572,0.35063,0.44602,0.52382,0.5857,0.65217
96,0.0060408,0.035797,0.079732,0.15426,0.25033,0.35063,0.4459,0.51821,0.58546,0.6506
97,0.0060334,0.035518,0.078272,0.15425,0.25006,0.35009,0.44298,0.51658,0.58074,0.64888
98,0.0056947,0.029653,0.077401,0.15177,0.24328,0.33474,0.43856,0.51042,0.57785,0.64821
99,0.0056117,0.027817,0.075354,0.15072,0.24282,0.33317,0.43078,0.50847,0.57158,0.64527
100,0.0054473,0.026414,0.072108,0.12747,0.24008,0.32005,0.43038,0.50539,0.56495,0.64249
101,0.0054213,0.026282,0.068054,0.12355,0.23665,0.31558,0.40976,0.50384,0.5626,0.63944
102,0.0051852,0.021432,0.067293,0.12108,0.2332,0.30919,0.40708,0.50215,0.55746,0.63906
103,0.005146,0.020769,0.06638,0.11669,0.22942,0.30643,0.40627,0.50033,0.55462,0.63694
104,0.0049074,0.018768,0.060178,0.11566,0.22898,0.30468,0.40061,0.49101,0.55325,0.63466
105,0.0047849,0.018569,0.057629,0.10875,0.22135,0.30427,0.38978,0.48241,0.55294,0.6314
106,0.0043967,0.018341,0.055283,0.10593,0.21913,0.29306,0.38778,0.48189,0.54491,0.62052
107,0.0043514,0.018243,0.047312,0.099108,0.21008,0.28903,0.378,0.48057,0.53899,0.61818
108,0.004263,0.018182,0.04587,0.097812,0.19895,0.2765,0.36748,0.46965,0.52885,0.61775
109,0.004203,0.018031,0.044877,0.090203,0.1746,0.259,0.36297,0.4664,0.52829,0.61603
110,0.0038741,0.017327,0.04253,0.086241,0.17446,0.25364,0.36036,0.45486,0.52425,0.61534
111,0.0037452,0.017311,0.042175,0.078171,0.17379,0.24161,0.35001,0.45017,0.51206,0.61261
112,0.0037188,0.016967,0.041432,0.074824,0.17294,0.2278,0.34969,0.43256,0.51132,0.60646
113,0.0034927,0.016549,0.040763,0.074688,0.17243,0.22128,0.30577,0.4215,0.50235,0.60465
114,0.0032325,0.015876,0.037387,0.074386,0.15071,0.2195,0.28587,0.40702,0.50005,0.59895
115,0.0031392,0.015141,0.034485,0.069652,0.14847,0.20338,0.28217,0.39447,0.49951,0.59828
116,0.0030305,0.014747,0.033284,0.062108,0.14817,0.20114,0.27217,0.38552,0.49891,0.58748
117,0.0028745,0.014039,0.030187,0.060923,0.12167,0.19665,0.2705,0.37268,0.49631,0.56584
118,0.0027654,0.013888,0.028888,0.05971,0.11462,0.1931,0.26038,0.36333,0.4833,0.56173
119,0.0025519,0.013363,0.027575,0.057734,0.11219,0.18931,0.24893,0.33423,0.45499,0.55837
120,0.0025117,0.013078,0.026612,0.054492,0.10641,0.18248,0.24112,0.3338,0.45067,0.55657
121,0.002345,0.01251,0.025622,0.052364,0.10252,0.1802,0.23453,0.32887,0.43998,0.52318
122,0.0023032,0.011848,0.025622,0.049331,0.096134,0.17123,0.22755,0.32834,0.42932,0.51813
123,0.0022932,0.011644,0.025545,0.049066,0.091327,0.1656,0.2196,0.32704,0.42265,0.51397
124,0.0022845,0.011572,0.024967,0.047142,0.090154,0.16334,0.21873,0.30834,0.40996,0.50251
125,0.0022668,0.011372,0.023334,0.045524,0.088526,0.15946,0.21135,0.3039,0.40444,0.49585
126,0.0021992,0.01137,0.023138,0.045207,0.08561,0.15893,0.20922,0.30306,0.3982,0.48023
127,0.0021822,0.010748,0.021517,0.042131,0.08227,0.14296,0.20699,0.28716,0.38887,0.46941
128,0.0021753,0.010483,0.020925,0.041824,0.079358,0.14107,0.20586,0.27854,0.38718,0.46726
129,0.001979,0.0096457,0.020006,0.039355,0.078897,0.13761,0.20238,0.2777,0.37821,0.46214
130,0.0018451,0.0087902,0.01887,0.034883,0.078515,0.13129,0.19371,0.27333,0.36654,0.45344
131,0.0017898,0.0077132,0.018791,0.034699,0.072394,0.11724,0.19131,0.26904,0.36527,0.43859
132,0.0017209,0.0070586,0.018346,0.034142,0.07198,0.11351,0.17324,0.26381,0.34197,0.43803
133,0.0017209,0.0070089,0.017936,0.030748,0.066303,0.10219,0.16321,0.25277,0.32477,0.41859
134,0.0016821,0.0063055,0.016426,0.029169,0.063364,0.093083,0.15575,0.24048,0.32208,0.41715
135,0.0015938,0.0061878,0.016037,0.028025,0.060168,0.091645,0.1363,0.23371,0.32183,0.41481
